0,1,0,0,0,0,0.001,0.002,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.03,0.008,0.006,-0.007,0.046,-0.018,0,0.004,0.002,0,0,0,0.001,0,-0.002,0,0,0,0,0,0.001,0,0,0.029,-0.054,-0.16,-0.105,-2.9,-0.334,-0.09,0.01,0.005,-4.396,0.711,-0.476
0,1,0,0,0,0,0,-0.001,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.03,0.008,0.006,-0.007,0.046,-0.018,0,0.004,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.029,-0.054,-0.16,-0.105,-2.897,-0.334,-0.089,0.009,0.004,-4.392,0.711,-0.476
0,1,0,0,0,0,-0.001,0.002,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.031,0.008,0.006,-0.007,0.046,-0.018,0,0.004,0.002,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0,0.029,-0.054,-0.161,-0.106,-2.896,-0.335,-0.09,0.01,0.004,-4.393,0.71,-0.475
0,1,0,0,0,0,-0.001,0.002,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.031,0.008,0.006,-0.007,0.046,-0.018,0,0.004,0.002,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0,0.029,-0.054,-0.16,-0.106,-2.895,-0.335,-0.09,0.009,0.004,-4.394,0.712,-0.477
0,1,0,0,0,-0.001,0.001,0.002,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.031,0.008,0.006,-0.007,0.047,-0.018,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,-0.054,-0.16,-0.106,-2.895,-0.335,-0.09,0.009,0.004,-4.394,0.712,-0.477
0,1,0,0,0,-0.001,0.001,0.002,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.031,0.008,0.006,-0.007,0.047,-0.018,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,-0.054,-0.16,-0.106,-2.896,-0.335,-0.09,0.01,0.004,-4.392,0.711,-0.476
0,1,0,0,0,0,-0.001,-0.003,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.03,0.008,0.006,-0.007,0.046,-0.018,0,0.004,0.002,0,0,0,-0.001,0,-0.002,0,0,0,-0.001,0,0.002,0,0,0.029,-0.054,-0.16,-0.106,-2.896,-0.335,-0.089,0.009,0.004,-4.391,0.711,-0.476
0,1,0,0,0,0.001,-0.001,-0.001,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.03,0.008,0.006,-0.007,0.047,-0.017,0,0.004,0.002,0,0,0.001,0,0,-0.002,0,0,0,0,0.001,0.002,0,0,0.028,-0.054,-0.161,-0.104,-2.902,-0.334,-0.09,0.011,0.004,-4.399,0.709,-0.474
0,1,0,0,0,0,0,0.002,-0.005,-0.006,-0.001,0.003,-0.024,0.022,0.029,0.03,0.008,0.006,-0.007,0.046,-0.017,0,0.004,0.002,0,0,0,-0.001,0,0.001,0,0,0,0.001,0,0.001,0,0,0.029,-0.054,-0.162,-0.104,-2.901,-0.333,-0.09,0.01,0.004,-4.402,0.71,-0.476
0,1,0,0,0,-0.002,-0.002,-0.002,-0.005,-0.006,-0.001,0.003,-0.023,0.022,0.029,0.03,0.008,0.006,-0.007,0.046,-0.017,0,0.004,0.002,0,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,0,0.03,-0.054,-0.16,-0.105,-2.901,-0.333,-0.09,0.009,0.004,-4.406,0.711,-0.476
