-6.894,3.929,-6.768,2.691,-0.113,0.197,-1.072,2.326
-5.497,3.178,-3.928,-2.394,-0.112,0.198,-1.204,2.595
-5.884,3.729,-3.115,-3.872,-0.112,0.196,-1.246,2.649
-4.509,-0.313,0.939,-12.922,-0.105,0.175,-1.360,2.830
-4.235,-0.305,0.767,-12.047,-0.099,0.168,-1.277,2.698
-4.380,0.905,3.192,-11.973,-0.090,0.145,-1.283,2.406
-2.812,-0.299,3.593,-13.188,-0.082,0.135,-1.206,2.348
-2.812,-0.299,2.742,-11.486,-0.085,0.142,-1.206,2.348
-1.433,-1.729,3.678,-10.078,-0.078,0.128,-1.160,2.107
-1.296,0.085,6.718,-11.183,-0.052,0.084,-0.987,1.603
-0.724,0.190,7.540,-13.029,-0.047,0.072,-0.969,1.558
-0.832,0.822,7.515,-11.879,-0.039,0.058,-0.860,1.317
0.339,0.333,7.881,-12.617,-0.025,0.037,-0.702,1.088
0.339,0.333,9.065,-14.985,-0.020,0.027,-0.702,1.088
1.050,-0.225,8.106,-13.003,-0.004,-0.001,-0.450,0.633
1.006,0.165,8.452,-12.744,0.007,-0.019,-0.336,0.394
2.104,0.037,10.249,-12.045,0.018,-0.038,-0.291,0.129
2.062,1.230,11.746,-14.733,0.029,-0.058,-0.228,0.017
6.163,-4.546,11.790,-13.185,0.043,-0.074,-0.054,-0.272
4.091,-1.412,11.162,-12.060,0.054,-0.095,0.118,-0.581
5.243,-2.119,11.967,-13.001,0.065,-0.114,0.216,-0.780
3.693,1.767,8.835,-5.017,0.073,-0.124,0.470,-1.301
3.693,1.767,12.463,-12.271,0.087,-0.153,0.470,-1.301
6.993,-4.555,7.738,-4.396,0.090,-0.154,0.736,-1.703
4.498,0.112,8.111,-5.155,0.100,-0.174,0.850,-1.918
5.435,-4.085,2.989,-0.140,0.102,-0.177,1.129,-2.208
4.014,1.404,4.412,-0.853,0.114,-0.196,1.208,-2.408
