1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-16.544,32.343,-0.596,1.869,0.672,0.894,-11.891,20.378,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-15.910,31.077,-0.596,1.869,0.672,0.894,-13.978,24.553,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-15.196,29.647,-0.596,1.869,0.672,0.894,-16.039,28.675,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-14.400,28.057,-0.596,1.869,0.672,0.894,-18.071,32.738,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-13.526,26.309,-0.596,1.869,0.672,0.894,-20.070,36.735,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-12.574,24.404,-0.596,1.869,0.672,0.894,-22.032,40.661,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-11.546,22.348,-0.596,1.869,0.672,0.894,-23.956,44.509,-0.784,-2.258,-0.714,-1.186
1.019,0.801,-1.568,1.341,-0.193,0.019,0.602,0.730,-1.155,1.085,-0.298,-0.010,-0.833,-1.311,0.860,0.861,-10.443,20.142,-0.596,1.869,0.672,0.894,-25.838,48.273,-0.784,-2.258,-0.714,-1.186
1.134,0.820,-0.806,0.778,0.112,-0.041,0.599,1.059,-1.088,1.009,0.029,0.058,-0.933,-1.351,0.914,0.841,3.600,-8.599,-0.604,1.941,0.696,0.953,-27.161,51.959,-0.788,-2.266,-0.703,-1.185
1.134,0.820,-0.806,0.778,0.112,-0.041,0.599,1.059,-1.088,1.009,0.029,0.058,-0.933,-1.351,0.914,0.841,4.847,-11.094,-0.604,1.941,0.696,0.953,-28.951,55.538,-0.788,-2.266,-0.703,-1.185
1.134,0.820,-0.806,0.778,0.112,-0.041,0.599,1.059,-1.088,1.009,0.029,0.058,-0.933,-1.351,0.914,0.841,6.164,-13.727,-0.604,1.941,0.696,0.953,-30.690,59.017,-0.788,-2.266,-0.703,-1.185
1.134,0.820,-0.806,0.778,0.112,-0.041,0.599,1.059,-1.088,1.009,0.029,0.058,-0.933,-1.351,0.914,0.841,7.548,-16.495,-0.604,1.941,0.696,0.953,-32.376,62.390,-0.788,-2.266,-0.703,-1.185
0.969,1.175,-1.121,0.876,0.174,-0.054,0.698,0.782,-1.152,0.968,0.055,0.050,-0.731,-1.340,0.852,0.905,8.570,-18.740,-0.584,1.848,0.687,0.953,-34.129,65.446,-0.788,-2.266,-0.717,-1.189
0.969,1.175,-1.121,0.876,0.174,-0.054,0.698,0.782,-1.152,0.968,0.055,0.050,-0.731,-1.340,0.852,0.905,10.082,-21.763,-0.584,1.848,0.687,0.953,-35.702,68.591,-0.788,-2.266,-0.717,-1.189
0.842,0.664,5.740,-11.594,0.116,-0.063,0.556,0.822,-1.315,-0.978,0.011,0.056,-0.849,-1.332,0.881,0.898,17.530,-35.299,-0.607,1.878,0.748,0.979,-22.858,41.853,-0.778,-2.215,-0.824,-1.179
1.177,0.431,2.941,-6.354,0.056,-0.050,0.656,0.717,-13.176,27.351,0.025,0.037,-0.900,-1.314,0.871,0.902,13.418,-27.953,-0.590,1.834,0.714,0.946,-9.506,23.522,-0.781,-2.305,-0.811,-1.195
1.043,0.466,3.299,-3.339,-0.017,-0.006,0.812,0.472,-5.642,9.830,-0.005,-0.010,-0.994,-1.405,1.024,0.579,5.755,-5.862,-0.607,1.944,0.799,0.610,3.011,-4.632,-0.748,-2.297,-0.851,-1.264
0.861,0.642,5.050,-3.848,-0.157,0.011,0.584,0.778,-7.588,2.417,-0.451,0.021,-1.052,-1.196,0.847,0.835,6.749,-3.732,-0.570,1.796,0.684,0.913,0.208,-21.352,-0.743,-2.029,-0.911,-1.146
0.861,0.642,5.050,-3.848,-0.157,0.011,0.584,0.778,-7.588,2.417,-0.451,0.021,-1.052,-1.196,0.847,0.835,8.538,-7.311,-0.570,1.796,0.684,0.913,-1.039,-18.857,-0.743,-2.029,-0.911,-1.146
1.042,0.826,3.972,0.233,-0.159,0.019,0.801,0.685,-5.578,-0.818,-0.586,0.092,-1.086,-1.459,0.864,0.962,5.998,2.831,-0.542,1.753,0.635,1.115,2.520,-24.549,-0.870,-2.067,-0.943,-1.024
0.999,0.783,2.012,1.072,-0.197,0.013,0.582,0.624,-2.499,-2.140,-0.375,0.014,-0.978,-1.372,0.834,0.821,1.704,3.770,-0.609,1.929,0.722,0.812,4.757,-17.965,-0.740,-2.040,-0.823,-1.247
0.999,0.783,2.012,1.072,-0.197,0.013,0.582,0.624,-2.499,-2.140,-0.375,0.014,-0.978,-1.372,0.834,0.821,3.628,-0.077,-0.609,1.929,0.722,0.812,3.728,-15.908,-0.740,-2.040,-0.823,-1.247
0.999,0.783,2.012,1.072,-0.197,0.013,0.582,0.624,-2.499,-2.140,-0.375,0.014,-0.978,-1.372,0.834,0.821,5.591,-4.003,-0.609,1.929,0.722,0.812,2.776,-14.004,-0.740,-2.040,-0.823,-1.247
0.885,0.744,2.232,-0.259,-0.182,0.024,0.643,0.887,-1.484,-0.968,-0.296,-0.031,-0.786,-1.362,0.884,0.868,5.673,-5.979,-0.586,1.856,0.705,0.936,3.936,-10.224,-0.757,-2.201,-0.828,-1.272
0.999,0.586,1.754,-1.128,0.051,-0.034,0.623,0.730,-1.908,1.891,-0.000,0.045,-0.840,-1.419,0.888,0.848,2.388,-2.323,-0.584,1.842,0.659,0.934,2.347,-4.762,-0.779,-2.230,-0.798,-1.233
1.019,0.604,1.528,-1.847,-0.002,-0.037,0.695,0.797,-1.514,3.112,-0.102,0.022,-0.859,-1.252,0.892,0.847,0.441,-1.190,-0.595,1.883,0.699,0.923,2.144,-2.608,-0.798,-2.315,-0.730,-1.274
0.855,0.722,-1.108,1.587,-0.137,0.020,0.629,0.598,-1.227,1.474,-0.291,-0.016,-1.037,-1.361,0.873,0.870,-4.759,5.286,-0.569,1.852,0.653,0.904,2.511,-3.873,-0.772,-2.207,-0.812,-1.185
0.855,0.722,-1.108,1.587,-0.137,0.020,0.629,0.598,-1.227,1.474,-0.291,-0.016,-1.037,-1.361,0.873,0.870,-2.648,1.065,-0.569,1.852,0.653,0.904,1.960,-2.771,-0.772,-2.207,-0.812,-1.185
0.895,0.764,-0.177,1.075,-0.202,0.023,0.464,0.781,-0.732,2.160,-0.287,-0.015,-0.864,-1.341,0.858,0.883,0.409,-1.066,-0.576,1.846,0.636,0.915,2.067,-2.194,-0.781,-2.247,-0.822,-1.169
1.135,0.684,-0.803,-0.500,-0.223,0.019,0.598,0.847,-0.394,2.392,-0.364,0.009,-1.034,-1.288,0.903,0.902,-0.940,-2.829,-0.598,1.877,0.657,1.005,2.715,-1.509,-0.799,-2.282,-0.824,-1.181
0.977,0.722,-2.634,2.494,-0.183,0.023,0.758,0.848,0.084,1.259,-0.332,-0.015,-0.950,-1.319,0.964,0.858,-3.602,0.037,-0.584,1.850,0.657,0.934,2.220,-1.904,-0.785,-2.250,-0.811,-1.186
1.000,0.724,-1.082,-1.399,-0.182,0.016,0.646,0.848,-0.970,3.132,-0.259,-0.011,-0.944,-1.472,0.929,0.907,-3.535,1.036,-0.594,1.876,0.681,0.943,0.909,-0.424,-0.788,-2.273,-0.805,-1.194
1.021,0.722,-0.814,-2.214,-0.246,0.010,0.610,0.848,-0.272,3.099,-0.320,-0.010,-0.941,-1.365,0.900,0.812,-5.641,4.820,-0.591,1.830,0.627,0.921,2.871,-0.352,-0.779,-2.250,-0.809,-1.196
1.092,0.682,-1.267,-2.277,-0.188,0.024,0.688,0.691,0.298,2.935,-0.304,-0.018,-0.900,-1.365,0.877,0.888,-8.747,10.135,-0.587,1.874,0.674,0.919,3.383,-0.607,-0.791,-2.269,-0.815,-1.202
1.196,0.645,-2.671,2.333,-0.070,-0.015,0.571,0.783,-0.625,2.555,-0.171,0.007,-0.947,-1.367,0.925,0.848,-11.045,18.241,-0.590,1.876,0.695,0.936,1.513,-0.880,-0.787,-2.251,-0.816,-1.223
0.977,0.879,-2.766,3.539,-0.002,-0.002,0.931,0.822,-0.755,2.101,-0.131,0.018,-0.854,-1.415,0.903,0.909,-10.175,17.605,-0.594,1.906,0.734,0.916,1.367,-1.414,-0.791,-2.281,-0.808,-1.209
0.841,0.645,-2.733,3.764,-0.159,0.004,0.658,0.730,-0.456,2.355,-0.299,-0.017,-0.897,-1.323,0.858,0.882,-8.582,16.174,-0.582,1.829,0.691,0.982,1.807,-0.828,-0.781,-2.239,-0.814,-1.209
0.703,0.626,-3.350,3.217,-0.236,0.015,0.641,0.781,-0.676,2.774,-0.318,0.000,-0.900,-1.361,0.873,0.859,-8.853,12.969,-0.580,1.810,0.678,0.932,1.536,-0.679,-0.779,-2.232,-0.819,-1.229
0.915,0.859,-2.776,2.010,-0.211,0.015,0.753,0.769,-0.035,3.200,-0.301,-0.006,-0.865,-1.306,0.876,0.931,-6.629,8.605,-0.603,1.895,0.752,0.960,1.545,0.191,-0.789,-2.266,-0.794,-1.204
0.915,0.859,-2.776,2.010,-0.211,0.015,0.753,0.769,-0.035,3.200,-0.301,-0.006,-0.865,-1.306,0.876,0.931,-6.629,8.605,-0.603,1.895,0.752,0.960,2.012,-0.744,-0.789,-2.266,-0.794,-1.204
0.915,0.762,-2.797,1.020,-0.150,0.034,0.773,0.783,-0.059,3.212,-0.309,-0.014,-0.866,-1.416,0.863,0.820,-5.360,5.591,-0.583,1.851,0.704,0.946,2.233,-0.725,-0.780,-2.242,-0.815,-1.204
0.988,0.684,-2.236,0.673,-0.195,0.020,0.658,0.717,-1.229,3.428,-0.299,-0.004,-1.177,-1.377,0.851,0.887,-3.373,3.795,-0.592,1.848,0.655,0.950,0.505,0.001,-0.783,-2.251,-0.813,-1.206
0.883,0.642,-1.650,0.924,-0.170,0.014,0.628,0.823,-0.369,1.880,-0.232,-0.011,-0.946,-1.325,0.870,0.879,-2.523,3.615,-0.586,1.882,0.689,0.937,0.938,-1.010,-0.789,-2.266,-0.812,-1.194
0.852,0.724,-1.137,1.037,-0.177,0.022,0.586,0.744,0.138,1.441,-0.346,-0.008,-0.951,-1.325,0.882,0.873,-1.991,2.930,-0.589,1.874,0.651,0.931,1.429,-2.422,-0.788,-2.266,-0.813,-1.200
