-0.235,0.120,4.678,-7.556,-0.035,-0.004,-0.390,0.142,2.991,-8.382,0.095,-0.021,-0.298,-0.123
-0.235,0.120,4.678,-7.556,-0.035,-0.004,-0.390,0.142,2.991,-8.382,0.095,-0.021,-0.298,-0.123
-0.193,-0.004,5.015,-7.307,0.016,-0.011,-0.297,0.087,3.089,-8.527,0.074,-0.029,-0.394,-0.307
0.037,0.154,4.350,-7.748,-0.010,-0.004,-0.246,0.071,3.173,-8.158,0.101,-0.032,-0.393,-0.105
-0.111,-0.028,4.657,-4.840,0.004,-0.000,-0.329,-0.180,1.951,-8.536,0.096,-0.030,-0.446,-0.088
0.259,-0.678,5.470,-6.430,-0.375,-0.064,-2.322,-1.520,1.586,-11.222,0.165,-0.035,-0.297,-0.122
-0.078,-0.574,6.064,-6.561,-0.317,-0.063,-2.667,-1.715,2.007,-11.951,0.174,-0.033,-0.201,-0.088
0.153,-0.939,7.571,-6.283,-0.363,-0.068,-2.538,-1.795,4.059,-12.091,0.224,-0.027,-0.462,0.029
0.153,-0.939,7.571,-6.283,-0.363,-0.068,-2.538,-1.795,4.059,-12.091,0.224,-0.027,-0.462,0.029
-0.110,-0.834,6.978,-6.290,-0.327,-0.086,-2.351,-1.862,3.645,-11.724,0.268,-0.021,-0.361,-0.541
-0.078,-0.756,6.326,-5.685,-0.371,-0.070,-2.493,-1.816,2.006,-11.694,0.223,-0.027,-0.341,0.097
-0.086,-0.848,6.324,-6.218,-0.232,-0.117,-2.508,-1.848,2.165,-11.797,0.350,0.000,-0.288,-0.156
-0.335,-0.899,5.741,-6.351,-0.239,-0.106,-2.535,-1.803,1.751,-11.994,0.339,0.010,-0.273,0.351
-0.335,-0.899,5.741,-6.351,-0.239,-0.106,-2.535,-1.803,1.751,-11.994,0.339,0.010,-0.273,0.351
-0.335,-0.899,5.741,-6.351,-0.239,-0.106,-2.535,-1.803,1.751,-11.994,0.339,0.010,-0.273,0.351
0.078,-0.744,5.708,-6.084,-0.352,-0.085,-2.398,-1.878,1.838,-12.352,0.187,-0.036,0.044,-0.213
0.037,-0.704,6.210,-6.519,-0.351,-0.093,-2.365,-1.710,2.163,-11.863,0.227,-0.033,-0.148,-0.106
