3.275,-10.461,-18.312,-23.664,-16.000,-0.311,-42.566,-19.270,0.248,-15.551,-16.000,0.001,17.389,-11.768
3.233,-10.463,-18.439,-23.712,-16.000,-0.311,-42.528,-19.265,0.197,-15.553,-16.000,0.001,17.392,-11.777
3.378,-10.462,-18.424,-23.927,-16.000,-0.312,-42.482,-19.198,-0.005,-15.719,-16.000,-0.002,17.401,-11.795
3.310,-10.480,-18.520,-24.203,-16.000,-0.317,-42.615,-19.215,0.203,-15.630,-16.000,0.005,17.411,-11.790
3.251,-10.470,-18.342,-23.785,-16.000,-0.312,-42.579,-19.248,0.025,-15.610,-16.000,0.003,17.395,-11.776
3.572,-10.343,-18.487,-23.576,-16.000,-0.267,-42.046,-18.851,0.714,-14.083,-16.000,0.002,17.426,-11.809
4.018,-10.566,-17.462,-23.702,-16.000,-0.285,-42.906,-18.711,2.936,-14.469,-16.000,0.006,17.346,-11.668
4.442,-10.787,-15.253,-24.071,-16.000,-0.307,-42.611,-18.673,5.310,-13.239,-16.000,-0.004,17.143,-11.669
4.143,-10.863,-15.867,-24.575,-16.000,-0.307,-42.791,-18.534,5.934,-13.160,-16.000,-0.004,17.104,-11.719
4.390,-10.808,-16.899,-24.885,-16.000,-0.297,-42.771,-18.424,6.068,-12.783,-16.000,-0.004,17.120,-11.840
3.513,-10.654,-19.989,-24.101,-16.000,-0.301,-43.026,-18.503,3.525,-13.984,-16.000,0.013,17.161,-11.965
3.768,-10.610,-19.474,-24.771,-16.000,-0.297,-42.944,-18.580,3.119,-14.837,-16.000,-0.017,17.294,-11.900
3.484,-10.598,-19.900,-25.155,-16.000,-0.292,-42.875,-18.691,2.389,-15.256,-16.000,-0.022,17.409,-11.956
3.486,-10.608,-19.576,-25.159,-16.000,-0.292,-42.940,-18.761,2.431,-15.296,-16.000,-0.022,17.427,-11.945
3.418,-10.594,-19.542,-25.087,-16.000,-0.292,-42.942,-18.796,2.329,-15.354,-16.000,-0.022,17.441,-11.951
3.733,-10.656,-19.444,-25.210,-16.000,-0.311,-42.825,-18.849,2.473,-14.855,-16.000,-0.002,17.705,-11.929
3.633,-10.682,-18.852,-25.268,-16.000,-0.312,-43.129,-18.751,3.324,-14.824,-16.000,0.008,17.605,-11.918
3.741,-10.712,-18.711,-25.522,-16.000,-0.311,-43.281,-18.640,3.183,-15.430,-16.000,-0.002,17.570,-11.966
3.652,-10.727,-18.257,-25.418,-16.000,-0.310,-43.619,-18.638,3.625,-15.091,-16.000,0.006,17.577,-11.900
3.619,-10.744,-18.817,-25.556,-16.000,-0.309,-43.623,-18.619,3.169,-15.724,-16.000,-0.001,17.605,-11.928
